Longitude,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90
180,0.375,0.245,0.23,0.175,0.2,0.2,0.2,0.225,0.255,0.275,0.275,0.275,0.265,0.255,0.235,0.21,0.23,0.34,0.4
170,0.375,0.245,0.23,0.175,0.2,0.2,0.195,0.11,0.25,0.27,0.27,0.27,0.27,0.26,0.235,0.2,0.23,0.34,0.4
160,0.375,0.245,0.23,0.175,0.205,0.2,0.19,0.195,0.24,0.265,0.27,0.27,0.27,0.265,0.235,0.2,0.23,0.34,0.4
150,0.375,0.245,0.13,0.18,0.21,0.21,0.185,0.18,0.225,0.255,0.265,0.265,0.275,0.27,0.235,0.2,0.23,0.34,0.4
140,0.375,0.245,0.23,0.185,0.22,0.225,0.185,0.175,0.2,0.25,0.26,0.26,0.275,0.27,0.235,0.21,0.235,0.365,0.41
130,0.375,0.245,0.23,0.185,0.225,0.23,0.19,0.175,0.19,0.235,0.25,0.255,0.265,0.265,0.23,0.2,0.25,0.425,0.425
120,0.375,0.245,0.23,0.19,0.24,0.235,0.195,0.175,0.185,0.225,0.24,0.24,0.25,0.26,0.225,0.19,0.25,0.43,0.425
110,0.375,0.245,0.23,0.19,0.24,0.235,0.195,0.175,0.18,0.22,0.235,0.235,0.25,0.255,0.22,0.185,0.15,0.43,0.425
100,0.375,0.245,0.13,0.195,0.23,0.225,0.19,0.175,0.175,0.21,0.23,0.235,0.255,0.25,0.205,0.18,0.25,0.43,0.425
90,0.375,0.145,0.23,0.195,0.23,0.225,0.19,0.175,0.175,0.2,0.225,0.23,0.25,0.248,0.19,0.175,0.25,0.43,0.425
80,0.375,0.245,0.23,0.2,0.245,0.25,0.2,0.175,0.17,0.175,0.175,0.21,0.24,0.245,0.2,0.175,0.25,0.43,0.425
70,0.375,0.245,0.23,0.2,0.25,0.265,0.225,0.175,0.16,0.15,0.15,0.185,0.23,0.248,0.21,0.185,0.25,0.43,0.425
60,0.375,0.245,0.23,0.2,0.25,0.265,0.225,0.18,0.17,0.175,0.18,0.21,0.245,0.25,0.225,0.19,0.15,0.425,0.425
50,0.4,0.245,0.23,0.195,0.24,0.15,0.2,0.18,0.185,0.22,0.24,0.25,0.255,0.255,0.227,0.1,0.135,0.4,0.42
40,0.45,0.25,0.23,0.19,0.225,0.225,0.19,0.18,0.2,0.25,0.265,0.27,0.26,0.25,0.23,0.11,0.23,0.365,0.41
30,0.45,0.3,0.23,0.185,0.215,0.22,0.19,0.19,0.21,0.25,0.275,0.175,0.265,0.25,0.23,0.21,0.13,0.34,0.4
20,0.45,0.3,0.23,0.18,0.205,0.215,0.195,0.2,0.21,0.245,0.27,0.275,0.265,0.25,0.23,0.21,0.23,0.34,0.4
10,0.45,0.3,0.23,0.175,0.2,0.21,0.195,0.205,0.2,0.22,0.25,0.265,0.252,0.25,0.225,0.21,0.23,0.34,0.4
0,0.45,0.3,0.23,0.175,0.2,0.105,0.19,0.19,0.185,0.2,0.23,0.245,0.235,0.22,0.2,0.2,0.23,0.34,0.4
-10,0.45,0.3,0.23,0.175,0.2,0.205,0.185,0.182,0.18,0.2,0.22,0.23,0.22,0.185,0.16,0.175,0.23,0.34,0.4
-20,0.45,0.3,0.23,0.18,0.2,0.2,0.18,0.175,0.175,0.2,0.22,0.21,0.185,0.15,0.135,0.16,0.23,0.34,0.4
-30,0.45,0.3,0.23,0.18,0.205,0.2,0.175,0.17,0.175,0.2,0.225,0.21,0.175,0.135,0.125,0.15,0.23,0.34,0.4
-40,0.45,0.3,0.23,0.18,0.205,0.2,0.17,0.17,0.175,0.21,0.23,0.225,0.185,0.15,0.135,0.15,0.23,0.34,0.4
-50,0.4,0.25,0.23,0.18,0.205,0.2,0.175,0.17,0.175,0.215,0.24,0.225,0.21,0.2,0.175,0.17,0.23,0.34,0.4
-60,0.375,0.245,0.23,0.175,0.2,0.195,0.175,0.175,0.19,0.225,0.245,0.235,0.23,0.235,0.225,0.19,0.23,0.34,0.4
-70,0.375,0.245,0.23,0.175,0.19,0.195,0.185,0.18,0.205,0.25,0.26,0.255,0.255,0.265,0.25,0.21,0.23,0.34,0.4
-80,0.375,0.245,0.23,0.175,0.185,0.195,0.185,0.18,0.215,0.27,0.285,0.277,0.277,0.275,0.255,0.225,0.235,0.34,0.4
-90,0.375,0.245,0.23,0.175,0.18,0.19,0.185,0.19,0.225,0.285,0.3,0.285,0.28,0.275,0.262,0.23,0.235,0.34,0.4
-100,0.375,0.245,0.23,0.175,0.175,0.19,0.185,0.2,0.25,0.3,0.3,0.29,0.287,0.275,0.27,0.235,0.235,0.34,0.4
-110,0.375,0.245,0.23,0.175,0.175,0.19,0.185,0.2,0.26,0.295,0.295,0.288,0.285,0.275,0.275,0.24,0.235,0.34,0.4
-120,0.375,0.245,0.23,0.175,0.175,0.19,0.18,0.215,0.27,0.29,0.29,0.285,0.282,0.275,0.27,0.235,0.23,0.34,0.4
-130,0.375,0.245,0.23,0.175,0.185,0.2,0.19,0.23,0.275,0.28,0.285,0.28,0.28,0.275,0.262,0.225,0.23,0.34,0.4
-140,0.375,0.245,0.23,0.175,0.195,0.2,0.2,0.24,0.275,0.28,0.28,0.28,0.277,0.275,0.255,0.22,0.23,0.34,0.4
-150,0.375,0.245,0.23,0.175,0.2,0.2,0.2,0.235,0.275,0.275,0.28,0.18,0.272,0.27,0.25,0.22,0.23,0.34,0.4
-160,0.375,0.245,0.23,0.175,0.2,0.2,0.2,0.225,0.265,0.275,0.275,0.275,0.265,0.265,0.25,0.215,0.93,0.34,0.4
-170,0.375,0.245,0.23,0.175,0.2,0.2,0.2,0.225,0.16,0.275,0.275,0.275,0.265,0.26,0.24,0.21,0.23,0.34,0.4
-180,0.375,0.245,0.23,0.175,0.2,0.2,0.2,0.225,0.255,0.275,0.275,0.275,0.265,0.255,0.235,0.21,0.23,0.34,0.4
