MER opacity measurements for Pancam 440-nm solar filter images.
Flux_1AU = 3660.55 DN ms-1 in the current best fit.
Abs_Err = 0.0300000 (absolute error in tau derivation at AM=1).
The date of the current best fit is 2018-Dec-07 21:12:25 UTC.
N_ENTRIES = 8697

Comments or questions to Mark Lemmon, lemmon@tamu.edu.

  Product_ID,                    L_s,  R_au,     Sol,     AM,    Flux,    TAU, Rel_err
"1P128366760ESF0100F0006L8M1", -20.4, 1.507,   1.543,  1.043, 614.870,  0.906,   0.035
"1P128462671ESF0200P2600L8M1", -19.8, 1.508,   2.623,  1.398, 460.935,  0.883,   0.026
"1P128534453ESF0203P2600L8M1", -19.3, 1.510,   3.432,  1.103, 545.380,  0.964,   0.033
"1P128535043ESF0203P2651L8M1", -19.3, 1.510,   3.439,  1.084, 562.276,  0.953,   0.033
"1P128549987ESF0205P2600L8M1", -19.2, 1.510,   3.607,  1.279, 489.594,  0.916,   0.029
"1P128710359ESF0211P2600L8M1", -18.2, 1.512,   5.414,  1.170, 479.965,  1.016,   0.032
"1P128711340ESF0211P2600L8M1", -18.2, 1.512,   5.425,  1.126, 499.325,  1.020,   0.032
"1P128719414ESF0211P2600L8M1", -18.2, 1.512,   5.516,  1.010, 604.828,  0.948,   0.036
"1P128720389ESF0211P2600L8M1", -18.2, 1.512,   5.527,  1.019, 600.897,  0.946,   0.036
"1P128729415ESF0211P2600L8M1", -18.1, 1.513,   5.628,  1.440, 411.322,  0.931,   0.025
"1P128730414ESF0211P2600L8M1", -18.1, 1.513,   5.640,  1.555, 375.715,  0.921,   0.023
"1P128813174ESF0213P2600L8M1", -17.6, 1.514,   6.572,  1.115, 563.530,  0.920,   0.033
"1P128814147ESF0213P2600L8M1", -17.6, 1.514,   6.583,  1.155, 543.580,  0.919,   0.032
"1P128815055ESF0215F0006L8M1", -17.6, 1.514,   6.593,  1.201, 515.834,  0.926,   0.030
"1P128816778ESF0215P2600L8M1", -17.6, 1.514,   6.613,  1.314, 472.453,  0.914,   0.028
"1P129071999ESF0224P2600L8M1", -16.0, 1.518,   9.488,  1.006, 610.053,  0.934,   0.036
"1P129081185ESF0224P2600L8M1", -16.0, 1.518,   9.591,  1.191, 525.103,  0.915,   0.031
"1P129084556ESF0224P2600L8M1", -16.0, 1.518,   9.629,  1.447, 414.067,  0.918,   0.025
"1P129156114ESF0224P2600L8M1", -15.5, 1.519,  10.435,  1.090, 537.435,  0.978,   0.033
"1P129157710ESF0224P2600L8M1", -15.5, 1.519,  10.453,  1.047, 564.224,  0.971,   0.034
"1P129159857ESF0224P2600L8M1", -15.5, 1.519,  10.478,  1.013, 597.053,  0.948,   0.036
"1P129160841ESF0224P2600L8M1", -15.5, 1.519,  10.489,  1.006, 604.939,  0.942,   0.036
"1P129160885ESF0224P2654L8M1", -15.5, 1.519,  10.489,  1.005, 604.784,  0.943,   0.036
"1P129161883ESF0224P2600L8M1", -15.5, 1.519,  10.500,  1.003, 607.793,  0.940,   0.036
"1P129169071ESF0224P2600L8M1", -15.4, 1.519,  10.581,  1.148, 538.206,  0.927,   0.032
"1P129244119ESF0224P2600L8M1", -15.0, 1.520,  11.427,  1.116, 529.853,  0.966,   0.033
"1P129244413ESF0224P2655L8M1", -15.0, 1.520,  11.430,  1.105, 538.866,  0.960,   0.033
"1P129245519ESF0224P2600L8M1", -15.0, 1.520,  11.443,  1.070, 560.171,  0.956,   0.034
"1P129250636ESF0224P2600L8M1", -14.9, 1.520,  11.500,  1.003, 626.076,  0.909,   0.036
"1P129253667ESF0224P2600L8M1", -14.9, 1.520,  11.535,  1.026, 618.284,  0.900,   0.036
"1P129254528ESF0242F0006L8M1", -14.9, 1.520,  11.544,  1.042, 608.341,  0.902,   0.035
"1P129257384ESF0242P2600L8M1", -14.9, 1.521,  11.576,  1.128, 575.544,  0.882,   0.032
"1P129332558ESF0242P2600L8M1", -14.5, 1.522,  12.424,  1.125, 527.157,  0.961,   0.033
"1P129334701ESF0242P2600L8M1", -14.4, 1.522,  12.449,  1.056, 571.472,  0.947,   0.034
"1P129337116ESF0250F0006L8M1", -14.4, 1.522,  12.475,  1.015, 601.393,  0.934,   0.036
"1P129339707ESF0300P2600L8M1", -14.4, 1.522,  12.505,  1.003, 612.792,  0.927,   0.036
"1P129424060ESF0300P2600L8M1", -13.9, 1.523,  13.455,  1.042, 558.372,  0.980,   0.035
"1P129426219ESF0300P2600L8M1", -13.9, 1.523,  13.480,  1.010, 582.163,  0.970,   0.036
"1P129427232ESF0300P2656L8M1", -13.9, 1.523,  13.491,  1.004, 589.250,  0.964,   0.036
"1P129510414ESF0312P2600L8M1", -13.4, 1.524,  14.428,  1.111, 535.591,  0.956,   0.033
"1P129512570ESF0312P2600L8M1", -13.4, 1.524,  14.452,  1.048, 577.040,  0.943,   0.035
"1P129517185ESF0312P2600L8M1", -13.3, 1.524,  14.504,  1.002, 624.991,  0.906,   0.036
"1P129519078ESF0312P2600L8M1", -13.3, 1.524,  14.526,  1.015, 613.394,  0.913,   0.036
"1P129601859ESF0312P2600L8M1", -12.8, 1.526,  15.458,  1.036, 565.884,  0.969,   0.035
"1P129618344ESF0322P2600L8M1", -12.7, 1.526,  15.644,  1.605, 320.425,  0.980,   0.023
"1P129688539ESF0322P2600L8M1", -12.3, 1.527,  16.435,  1.090, 538.205,  0.967,   0.033
"1P129784182ESF0338P2600L8M1", -11.7, 1.528,  17.512,  1.004, 617.817,  0.910,   0.036
"1P129872085ESF0338P2600L8M1", -11.2, 1.530,  18.503,  1.001, 595.874,  0.946,   0.036
