Sol,TerrestialDate,Wh,TauFactor,SADustFactor
1939,8-JUL-2009,429,0.438,0.519
1946,15-JUL-2009,414,0.476,0.52
1952,21-JUL-2009,493,0.462,0.559
1959,28-JUL-2009,467,0.517,0.534
1967,5-AUG-2009,491,0.547,0.586
1986,25-AUG-2009,453,0.526,0.55
2020,29-SEP-2009,461,0.677,0.599
2028,7-OCT-2009,449,0.638,0.5695
2035,15-OCT-2009,446,0.591,0.562
2042,21-OCT-2009,430,0.586,0.5575
2049,29-OCT-2009,419,0.58,0.571
2056,5-NOV-2009,376,0.548,0.527
2062,11-NOV-2009,400,0.486,0.531
2068,17-NOV-2009,385,0.482,0.53
2075,24-NOV-2009,371,0.512,0.52
2079,28-NOV-2009,360,0.508,0.529
2090,10-DEC-2009,359,0.498,0.529
2096,16-DEC-2009,354,0.462,0.528
2103,23-DEC-2009,336,0.49,0.52
2110,24-DEC-2009,315,0.491,0.509
2117,6-JAN-2010,320,0.438,0.519
2124,14-JAN-2010,336,0.5,0.533
2130,20-JAN-2010,304,0.488,0.505
2136,26-JAN-2010,296,0.458,0.517
2144,3-FEB-2010,270,0.415,0.47
2151,10-FEB-2010,306,0.388,0.487
2157,17-FEB-2010,305,0.432,0.496
2165,25-FEB-2010,278,0.396,0.481
2171,3-MAR-2010,278,0.396,0.481
2177,9-MAR-2010,278,0.446,0.504
2185,17-MAR-2010,283,0.405,0.523
2199,1-APR-2010,238,0.371,0.501
2204,6-APR-2010,235,0.371,0.5
2211,13-APR-2010,227,0.347,0.474
2218,20-APR-2010,247,0.348,0.4995
2226,28-APR-2010,245,0.355,0.4695
2320,3-AUG-2010,529,0.415,0.744
2328,11-AUG-2010,528,0.46,0.75
2334,17-AUG-2010,581,0.484,0.749
2340,24-AUG-2010,562,0.334,0.7285
2348,1-SEP-2010,579,0.461,0.729
2355,8-SEP-2010,572,0.371,0.732
2361,14-SEP-2010,577,0.568,0.74
2369,22-SEP-2010,570,0.607,0.724
2375,29-SEP-2010,607,0.52,0.7095
2382,6-OCT-2010,610,0.538,0.716
2388,12-OCT-2010,607,0.518,0.691
2395,19-OCT-2010,627,0.639,0.7015
2402,26-OCT-2010,585,0.67,0.682
2409,2-NOV-2010,610,0.646,0.678
2416,10-NOV-2010,612,0.704,0.681
2422,16-NOV-2010,596,0.769,0.67
2428,22-NOV-2010,603,0.716,0.659
2436,30-NOV-2010,587,0.753,0.645
2444,8-DEC-2010,617,0.736,0.66
2449,14-DEC-2010,592,0.727,0.6355
2456,21-DEC-2010,595,0.727,0.6407
2464,29-DEC-2010,578,0.692,0.62
2470,4-JAN-2011,584,0.692,0.6205
2477,11-JAN-2011,582,0.8,0.628
2484,19-JAN-2011,555,0.789,0.603
2489,24-JAN-2011,554,0.854,0.616
2496,31-JAN-2011,524,1.07,0.625
2499,3-FEB-2011,585,1.07,0.678
2511,15-FEB-2011,505,0.949,0.597
2519,23-FEB-2011,420,1,0.624
2526,3-MAR-2011,446,1.35,0.599
2532,9-MAR-2011,412,1.05,0.5565
2538,15-MAR-2011,412,1.02,0.579
2545,22-MAR-2011,453,0.986,0.588
2552,29-MAR-2011,423,0.914,0.56
2559,6-APR-2011,414,0.91,0.561
2565,12-APR-2011,390,0.919,0.5355
2572,19-APR-2011,400,0.922,0.5414
2580,27-APR-2011,381,0.87,0.507
2587,4-MAY-2011,367,0.819,0.51
2594,12-MAY-2011,382,0.816,0.514
2600,18-MAY-2011,406,0.806,0.528
2607,25-MAY-2011,408,0.827,0.535
2614,1-JUN-2011,408,0.86,0.545
2621,8-JUN-2011,420,0.747,0.562
2640,28-JUN-2011,476,1.11,0.648
2647,5-JUL-2011,421,1.03,0.596
2655,13-JUL-2011,435,0.996,0.596
2661,19-JUL-2011,417,0.945,0.574
2668,27-JUL-2011,413,1.01,0.587
2675,3-AUG-2011,385,1.03,0.537
2681,9-AUG-2011,374,1.12,0.542
2689,17-AUG-2011,399,1.03,0.569
2695,23-AUG-2011,366,1.07,0.546
2702,31-AUG-2011,352,1.07,0.54
2709,7-SEP-2011,336,1,0.531
2716,14-SEP-2011,334,0.887,0.52
2722,20-SEP-2011,321,0.895,0.511
2729,27-SEP-2011,313,0.882,0.514
2737,6-OCT-2011,320,0.84,0.513
2744,13-OCT-2011,316,0.791,0.498
2750,19-OCT-2011,312,0.764,0.491
2756,25-OCT-2011,297,0.913,0.51
2763,1-NOV-2011,304,0.752,0.494
2770,8-NOV-2011,295,0.774,0.489
2777,16-NOV-2011,298,0.696,0.486
2783,22-NOV-2011,297,0.661,0.463
2790,29-NOV-2011,292,0.77,0.488
2797,6-DEC-2011,305,0.755,0.487
2804,13-DEC-2011,302,0.714,0.486
2812,22-DEC-2011,297,0.645,0.469
2817,27-DEC-2011,290,0.685,0.475
2824,3-JAN-2012,287,0.735,0.481
2832,11-JAN-2012,281,0.697,0.471
2838,17-JAN-2012,276,0.602,0.447
2845,24-JAN-2012,279,0.693,0.473
2852,1-FEB-2012,270,0.679,0.469
2859,8-FEB-2012,283,0.648,0.478
2865,14-FEB-2012,274,0.678,0.467
2872,21-FEB-2012,277,0.684,0.476
2879,28-FEB-2012,305,0.52,0.489
2886,7-MAR-2012,298,0.557,0.487
2893,14-MAR-2012,301,0.542,0.489
2900,21-MAR-2012,311,0.508,0.498
2906,27-MAR-2012,306,0.521,0.488
2913,3-APR-2012,321,0.521,0.506
2921,12-APR-2012,336,0.526,0.535
2926,17-APR-2012,342,0.504,0.525
2934,25-APR-2012,366,0.521,0.546
2940,1-MAY-2012,365,0.48,0.534
2947,8-MAY-2012,357,0.476,0.526
2954,16-MAY-2012,359,0.423,0.532
2961,23-MAY-2012,395,0.387,0.559
2968,30-MAY-2012,345,0.413,0.538
2974,5-JUN-2012,369,0.364,0.562
2977,8-JUN-2012,388,0.338,0.567
2989,20-JUN-2012,526,0.229,0.684
2995,27-JUN-2012,559,0.33,0.698
3001,3-JUL-2012,577,0.346,0.705
3008,10-JUL-2012,559,0.443,0.716
3022,24-JUL-2012,547,0.642,0.72
3022,24-JUL-2012,507,0.772,0.727
3035,7-AUG-2012,531,0.715,0.707
3042,14-AUG-2012,545,0.564,0.688
3050,22-AUG-2012,530,0.696,0.683
3056,28-AUG-2012,568,0.57,0.684
3063,4-SEP-2012,543,0.658,0.667
3070,12-SEP-2012,569,0.689,0.672
3076,18-SEP-2012,564,0.56,0.648
3084,26-SEP-2012,553,0.658,0.657
3084,26-SEP-2012,553,0.658,0.657
3097,9-OCT-2012,531,0.722,0.629
3104,17-OCT-2012,579,0.604,0.624
3110,23-OCT-2012,575,0.654,0.619
3116,29-OCT-2012,549,0.649,0.601
3124,6-NOV-2012,586,0.605,0.604
3131,13-NOV-2012,596,0.589,0.606
3136,19-NOV-2012,539,0.897,0.612
3145,28-NOV-2012,559,0.793,0.608
3151,4-DEC-2012,536,0.866,0.599
3158,11-DEC-2012,524,0.923,0.59
3165,18-DEC-2012,533,0.955,0.607
3173,19-DEC-2012,485,1.02,0.594
3180,3-JAN-2013,542,0.961,0.633
3186,9-JAN-2013,509,1.01,0.62
3193,16-JAN-2013,498,1.08,0.623
3199,22-JAN-2013,540,1.11,0.651
3206,29-JAN-2013,534,0.974,0.644
3212,4-FEB-2013,554,0.926,0.643
3219,12-FEB-2013,490,0.891,0.626
3226,19-FEB-2013,521,0.829,0.618
3233,26-FEB-2013,510,0.817,0.594
3240,5-MAR-2013,498,0.798,0.58
3247,12-MAR-2013,483,0.863,0.598
3253,19-MAR-2013,490,0.771,0.59
3260,26-MAR-2013,590,0.76,0.654
3266,1-APR-2013,559,0.741,0.636
