tau,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
0.1,0.883,0.883,0.883,0.882,0.881,0.88,0.879,0.877,0.875,0.872,0.868,0.862,0.855,0.844,0.83,0.804,0.757,0.64
0.15,0.875,0.875,0.874,0.873,0.872,0.87,0.868,0.866,0.862,0.858,0.852,0.844,0.834,0.819,0.798,0.762,0.7,0.566
0.2,0.866,0.866,0.865,0.864,0.862,0.86,0.857,0.854,0.85,0.844,0.836,0.826,0.813,0.794,0.768,0.724,0.651,0.508
0.25,0.857,0.857,0.856,0.854,0.852,0.849,0.846,0.842,0.838,0.831,0.821,0.808,0.793,0.77,0.739,0.688,0.608,0.466
0.3,0.848,0.848,0.847,0.845,0.842,0.839,0.835,0.831,0.826,0.818,0.806,0.791,0.773,0.747,0.712,0.656,0.571,0.433
0.35,0.839,0.839,0.838,0.836,0.833,0.829,0.824,0.819,0.813,0.804,0.791,0.774,0.754,0.726,0.687,0.627,0.539,0.407
0.4,0.83,0.83,0.829,0.826,0.823,0.819,0.814,0.808,0.801,0.79,0.776,0.758,0.736,0.706,0.663,0.599,0.51,0.385
0.45,0.822,0.821,0.82,0.817,0.814,0.809,0.804,0.797,0.79,0.778,0.762,0.742,0.718,0.686,0.641,0.575,0.485,0.367
0.5,0.813,0.813,0.811,0.808,0.804,0.799,0.793,0.786,0.778,0.765,0.748,0.727,0.701,0.667,0.619,0.551,0.462,0.351
0.55,0.805,0.804,0.802,0.799,0.795,0.789,0.783,0.775,0.767,0.753,0.734,0.712,0.684,0.648,0.598,0.528,0.44,0.337
0.6,0.796,0.795,0.793,0.79,0.785,0.779,0.772,0.764,0.755,0.741,0.721,0.697,0.668,0.631,0.579,0.508,0.422,0.325
0.65,0.787,0.786,0.784,0.78,0.775,0.769,0.762,0.754,0.743,0.728,0.708,0.683,0.653,0.615,0.562,0.491,0.407,0.315
0.7,0.778,0.777,0.775,0.771,0.766,0.759,0.752,0.743,0.732,0.716,0.695,0.669,0.638,0.6,0.546,0.474,0.393,0.306
0.75,0.77,0.768,0.766,0.762,0.757,0.75,0.742,0.733,0.721,0.705,0.682,0.655,0.623,0.585,0.53,0.457,0.379,0.297
0.8,0.761,0.76,0.757,0.753,0.748,0.741,0.732,0.722,0.711,0.693,0.67,0.642,0.609,0.57,0.514,0.442,0.366,0.288
0.85,0.752,0.751,0.748,0.744,0.739,0.731,0.722,0.712,0.701,0.682,0.658,0.63,0.596,0.556,0.5,0.429,0.356,0.281
0.9,0.744,0.743,0.74,0.736,0.73,0.722,0.713,0.703,0.69,0.671,0.646,0.617,0.583,0.543,0.486,0.416,0.345,0.274
0.95,0.736,0.735,0.732,0.727,0.721,0.713,0.703,0.693,0.68,0.66,0.634,0.605,0.57,0.528,0.472,0.403,0.335,0.267
1,0.728,0.727,0.724,0.719,0.712,0.704,0.694,0.683,0.669,0.649,0.623,0.593,0.557,0.514,0.459,0.392,0.324,0.261
1.05,0.72,0.719,0.716,0.711,0.704,0.695,0.685,0.673,0.659,0.638,0.613,0.582,0.546,0.503,0.448,0.382,0.316,0.255
1.1,0.712,0.711,0.708,0.703,0.696,0.687,0.676,0.664,0.649,0.628,0.602,0.571,0.535,0.492,0.438,0.374,0.309,0.25
1.15,0.704,0.703,0.7,0.695,0.688,0.678,0.667,0.655,0.64,0.618,0.592,0.561,0.524,0.48,0.427,0.364,0.302,0.245
