,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90
180,0.375,0.245,0.230,0.175,0.200,0.200,0.200,0.225,0.255,0.275,0.275,0.275,0.265,0.255,0.235,0.210,0.230,0.340,0.400
170,0.375,0.245,0.230,0.175,0.200,0.200,0.195,0.110,0.250,0.270,0.270,0.270,0.270,0.260,0.235,0.200,0.230,0.340,0.400
160,0.375,0.245,0.230,0.175,0.205,0.200,0.190,0.195,0.240,0.265,0.270,0.270,0.270,0.265,0.235,0.200,0.230,0.340,0.400
150,0.375,0.245,0.130,0.180,0.210,0.210,0.185,0.180,0.225,0.255,0.265,0.265,0.275,0.270,0.235,0.200,0.230,0.340,0.400
140,0.375,0.245,0.230,0.185,0.220,0.225,0.185,0.175,0.200,0.250,0.260,0.260,0.275,0.270,0.235,0.210,0.235,0.365,0.410
130,0.375,0.245,0.230,0.185,0.225,0.230,0.190,0.175,0.190,0.235,0.250,0.255,0.265,0.265,0.230,0.200,0.250,0.425,0.425
120,0.375,0.245,0.230,0.190,0.240,0.235,0.195,0.175,0.185,0.225,0.240,0.240,0.250,0.260,0.225,0.190,0.250,0.430,0.425
110,0.375,0.245,0.230,0.190,0.240,0.235,0.195,0.175,0.180,0.220,0.235,0.235,0.250,0.255,0.220,0.185,0.150,0.430,0.425
100,0.375,0.245,0.130,0.195,0.230,0.225,0.190,0.175,0.175,0.210,0.230,0.235,0.255,0.250,0.205,0.180,0.250,0.430,0.425
90,0.375,0.145,0.230,0.195,0.230,0.225,0.190,0.175,0.175,0.200,0.225,0.230,0.250,0.248,0.190,0.175,0.250,0.430,0.425
80,0.375,0.245,0.230,0.200,0.245,0.250,0.200,0.175,0.170,0.175,0.175,0.210,0.240,0.245,0.200,0.175,0.250,0.430,0.425
70,0.375,0.245,0.230,0.200,0.250,0.265,0.225,0.175,0.160,0.150,0.150,0.185,0.230,0.248,0.210,0.185,0.250,0.430,0.425
60,0.375,0.245,0.230,0.200,0.250,0.265,0.225,0.180,0.170,0.175,0.180,0.210,0.245,0.250,0.225,0.190,0.150,0.425,0.425
50,0.400,0.245,0.230,0.195,0.240,0.150,0.200,0.180,0.185,0.220,0.240,0.250,0.255,0.255,0.227,0.100,0.135,0.400,0.420
40,0.450,0.250,0.230,0.190,0.225,0.225,0.190,0.180,0.200,0.250,0.265,0.270,0.260,0.250,0.230,0.110,0.230,0.365,0.410
