"","Sol","Ls","Date","TauFactor","SADustFactor","WhPredicted","WhMeasured","WhDiff","WhDiffPercentage"
"1",1939,299.305487730689,"8-JUL-2009",0.438,0.519,415.047648594017,429,-13.9523514059832,-3.25229636503104
"2",1946,303.478022535963,"15-JUL-2009",0.476,0.52,409.338778289373,414,-4.66122171062733,-1.12589896391965
"3",1952,307.015209281375,"21-JUL-2009",0.462,0.559,452.086688512817,493,-40.9133114871831,-8.29884614344484
"4",1959,311.121683605707,"28-JUL-2009",0.517,0.534,415.606207125728,467,-51.393792874272,-11.0050948338912
"5",1967,315.733416977586,"5-AUG-2009",0.547,0.586,463.609648790902,491,-27.3903512090978,-5.57848293464313
"6",1986,327.031877942521,"25-AUG-2009",0.526,0.55,421.859724068767,453,-31.1402759312334,-6.87423309740252
"7",2020,345.887386067991,"29-SEP-2009",0.677,0.599,432.065037957752,461,-28.9349620422481,-6.27656443432713
"8",2028,350.057938130101,"7-OCT-2009",0.638,0.5695,404.053016669977,449,-44.9469833300226,-10.0104639933235
"9",2035,354.144062252615,"15-OCT-2009",0.591,0.562,397.50968357135,446,-48.49031642865,-10.8722682575448
"10",2042,357.187243385734,"21-OCT-2009",0.586,0.5575,389.832063562374,430,-40.1679364376261,-9.34138056688978
"11",2049,361.193767557779,"29-OCT-2009",0.58,0.571,397.5053367753,419,-21.4946632247002,-5.12999122307881
"12",2056,364.646225695143,"5-NOV-2009",0.548,0.527,355.71188612717,376,-20.2881138728299,-5.39577496617815
"13",2062,367.59374957454,"11-NOV-2009",0.486,0.531,362.239807842781,400,-37.760192157219,-9.44004803930476
"14",2068,10.5050032127424,"17-NOV-2009",0.482,0.53,357.605353223859,385,-27.3946467761411,-7.11549266912757
"15",2075,13.8570710756496,"24-NOV-2009",0.512,0.52,340.455602553447,371,-30.5443974465531,-8.23299122548602
"16",2079,15.7757811988239,"28-NOV-2009",0.508,0.529,346.213007036515,360,-13.7869929634847,-3.82972026763464
"17",2090,21.4333538746904,"10-DEC-2009",0.498,0.529,339.092719296376,359,-19.9072807036239,-5.54520353861391
"18",2096,24.253016840305,"16-DEC-2009",0.462,0.528,338.040920882417,354,-15.9590791175834,-4.50821443999532
"19",2103,27.4798291270353,"23-DEC-2009",0.49,0.52,323.563074439825,336,-12.436925560175,-3.70146594052829
"20",2110,27.9416434645532,"24-DEC-2009",0.491,0.509,313.440540972668,315,-1.55945902733237,-0.495066357883291
"21",2117,33.8997000507732,"6-JAN-2010",0.438,0.519,319.397993654116,320,-0.602006345883922,-0.188126983088726
"22",2124,37.532612556848,"14-JAN-2010",0.5,0.533,319.656740612503,336,-16.3432593874975,-4.86406529389806
"23",2130,40.226167319681,"20-JAN-2010",0.488,0.505,294.720439462332,304,-9.27956053766826,-3.05248701896982
"24",2136,42.9232406907148,"26-JAN-2010",0.458,0.517,304.231188730437,296,8.23118873043694,2.78080700352599
"25",2144,46.4738804406447,"3-FEB-2010",0.415,0.47,266.453619513583,270,-3.54638048641692,-1.31347425422849
"26",2151,49.6007520142934,"10-FEB-2010",0.388,0.487,279.68971137958,306,-26.3102886204202,-8.59813353608505
"27",2157,52.6666621382609,"17-FEB-2010",0.432,0.496,279.742560769807,305,-25.2574392301926,-8.2811276164566
"28",2165,56.2142788630582,"25-FEB-2010",0.396,0.481,268.281688493029,278,-9.71831150697079,-3.4957955061046
"29",2171,58.824097910736,"3-MAR-2010",0.396,0.481,266.296913779128,278,-11.7030862208716,-4.20974324491785
"30",2177,61.4540187848001,"9-MAR-2010",0.446,0.504,277.496490188108,278,-0.503509811891831,-0.181118637371162
"31",2185,64.9549946555074,"17-MAR-2010",0.405,0.523,293.897386161633,283,10.8973861616326,3.8506664882094
"32",2199,71.5066944293146,"1-APR-2010",0.371,0.501,277.248671647345,238,39.2486716473449,16.4910385072878
"33",2204,73.6942498633246,"6-APR-2010",0.371,0.5,275.796486771168,235,40.796486771168,17.3602071366672
"34",2211,76.7366664545997,"13-APR-2010",0.347,0.474,257.41989889796,227,30.4198988979603,13.4008365189252
"35",2218,79.8200393396644,"20-APR-2010",0.348,0.4995,276.752047292571,247,29.7520472925714,12.0453632763447
"36",2226,83.3002232352438,"28-APR-2010",0.355,0.4695,253.031935849405,245,8.03193584940533,3.27834116302258
"37",2320,127.340537108479,"3-AUG-2010",0.415,0.744,523.773215997845,529,-5.22678400215545,-0.9880499058895
"38",2328,131.167335347971,"11-AUG-2010",0.46,0.75,531.68694050843,528,3.68694050842987,0.698284187202627
"39",2334,134.084591196734,"17-AUG-2010",0.484,0.749,535.01409728599,581,-45.9859027140097,-7.91495743786742
"40",2340,137.511719243145,"24-AUG-2010",0.334,0.7285,554.321047788232,562,-7.67895221176786,-1.36636160351741
"41",2348,141.460176704237,"1-SEP-2010",0.461,0.729,543.18264111647,579,-35.8173588835303,-6.18607234603287
"42",2355,144.978811892843,"8-SEP-2010",0.371,0.732,573.583111887447,572,1.58311188744676,0.276767812490693
"43",2361,148.007898404404,"14-SEP-2010",0.568,0.74,554.05363923837,577,-22.9463607616298,-3.97683895348869
"44",2369,152.108485121913,"22-SEP-2010",0.607,0.724,544.608651742279,570,-25.3913482577213,-4.45462250135462
"45",2375,155.7363997971,"29-SEP-2010",0.52,0.7095,556.497029391788,607,-50.5029706082115,-8.3200940046477
"46",2382,159.405952185207,"6-OCT-2010",0.538,0.716,570.172468739725,610,-39.8275312602748,-6.52910348529095
"47",2388,162.608269972962,"12-OCT-2010",0.518,0.691,557.455312239277,607,-49.5446877607229,-8.16222203636292
"48",2395,166.349257473139,"19-OCT-2010",0.639,0.7015,556.74571694995,627,-70.2542830500496,-11.2048298325438
"49",2402,170.170828226708,"26-OCT-2010",0.67,0.682,541.36354987684,585,-43.6364501231595,-7.45922224327513
"50",2409,174.012611291172,"2-NOV-2010",0.646,0.678,549.906740869769,610,-60.0932591302306,-9.85135395577552
"51",2416,178.478421364343,"10-NOV-2010",0.704,0.681,552.516504942853,612,-59.4834950571466,-9.71952533613506
"52",2422,181.858173157484,"16-NOV-2010",0.769,0.67,536.93567906375,596,-59.0643209362499,-9.91012096245804
"53",2428,185.282163969267,"22-NOV-2010",0.716,0.659,539.782259015412,603,-63.2177409845879,-10.4838708100477
"54",2436,189.879686717216,"30-NOV-2010",0.753,0.645,525.828735631307,587,-61.1712643686927,-10.4209990406632
"55",2444,194.565618655633,"8-DEC-2010",0.736,0.66,549.912152737117,617,-67.0878472628825,-10.8732329437411
"56",2449,198.078669814613,"14-DEC-2010",0.727,0.6355,528.6856230062,592,-63.3143769938005,-10.6949961138176
"57",2456,202.270397822807,"21-DEC-2010",0.727,0.6407,537.42851347799,595,-57.5714865220102,-9.67588008773281
"58",2464,207.057852625448,"29-DEC-2010",0.692,0.62,523.149105507606,578,-54.8508944923942,-9.48977413363222
"59",2470,210.715085024271,"4-JAN-2011",0.692,0.6205,524.873653582799,584,-59.1263464172015,-10.1243743865071
